C1	C2	C3	C4	C5	C6	Score	IID	ID
1:1:16:1	1	1	16	1	NA	0.000114417	"2248"	AT2G07794
1:1:16:2	1	1	16	2	NA	0.000114417	"7814"	ATMG00460
1:2:1:1	1	2	1	1	NA	0.00114416	"2175"	AT2G07599
1:2:1:2	1	2	1	2	NA	0.000800915	"7867"	ATMG01270
1:2:1:3	1	2	1	3	NA	0.000686498	"2435"	AT2G18940
1:2:1:4	1	2	1	4	NA	0.000457666	"2255"	AT2G07811
1:2:1:5	1	2	1	5	NA	0.000457666	"2221"	AT2G07736
1:2:1:6	1	2	1	6	NA	0.000457666	"7805"	ATMG00300
1:2:1:7	1	2	1	7	NA	0.000400458	"7832"	ATMG00670
1:2:1:8	1	2	1	8	NA	0.000400458	"2838"	AT2G33430
1:2:1:9	1	2	1	9	NA	0.000400457	"5530"	AT4G25710
1:2:1:10	1	2	1	10	NA	0.000286041	"7857"	ATMG01080
1:2:1:11	1	2	1	11	NA	0.000286041	"4579"	AT3G55440
1:2:1:12	1	2	1	12	NA	0.000228833	"2262"	AT2G07830
1:2:1:13	1	2	1	13	NA	0.000171624	"470"	AT1G15710
1:2:1:14	1	2	1	14	NA	5.72084e-05	"2814"	AT2G32270
1:2:1:15	1	2	1	15	NA	5.72082e-05	"2261"	AT2G07827
1:2:1:16	1	2	1	16	NA	5.72081e-05	"1952"	AT1G78630
1:2:1:17	1	2	1	17	NA	5.72081e-05	"2220"	AT2G07734
1:2:2:1	1	2	2	1	NA	0.000686499	"7841"	ATMG00830
1:2:2:2	1	2	2	2	NA	0.000686499	"2244"	AT2G07783
1:2:2:3	1	2	2	3	NA	0.00062929	"6770"	AT5G27889
1:2:2:4	1	2	2	4	NA	0.000514874	"2207"	AT2G07718
1:2:2:5	1	2	2	5	NA	0.000514874	"7828"	ATMG00590
1:2:2:6	1	2	2	6	NA	0.000400458	"7826"	ATMG00570
1:2:2:7	1	2	2	7	NA	0.000400458	"2205"	AT2G07716
1:2:2:8	1	2	2	8	NA	0.000400457	"2180"	AT2G07675
1:2:2:9	1	2	2	9	NA	0.000400457	"7852"	ATMG00980
1:2:2:10	1	2	2	10	NA	0.000400457	"2204"	AT2G07715
1:2:2:11	1	2	2	11	NA	0.000343249	"2263"	AT2G07835
1:2:2:12	1	2	2	12	NA	0.000286041	"3230"	AT2G45590
1:2:2:13	1	2	2	13	NA	0.000114416	"2226"	AT2G07745
1:2:2:14	1	2	2	14	NA	0.000114416	"6000"	AT4G40030
1:2:2:15	1	2	2	15	NA	5.72083e-05	"423"	AT1G14160
1:2:3:1	1	2	3	1	NA	0.000972539	"7790"	ATMG00080
1:2:3:2	1	2	3	2	NA	0.000972539	"7791"	ATMG00090
1:2:3:3	1	2	3	3	NA	0.000686498	"582"	AT1G19600
1:2:3:4	1	2	3	4	NA	0.000400457	"6957"	AT5G40490
1:2:3:5	1	2	3	5	NA	0.000343249	"6451"	AT5G15870
1:2:3:6	1	2	3	6	NA	0.000171625	"7729"	AT5G66140
1:2:3:7	1	2	3	7	NA	0.000171625	"7360"	AT5G54290
1:2:3:8	1	2	3	8	NA	0.000171624	"7190"	AT5G48230
1:2:3:9	1	2	3	9	NA	0.000171624	"1821"	AT1G74100
1:2:3:10	1	2	3	10	NA	0.000114416	"3116"	AT2G42030
1:2:3:11	1	2	3	11	NA	0.000114416	"6048"	AT5G02480
1:2:3:12	1	2	3	12	NA	5.72083e-05	"925"	AT1G31860
1:2:3:13	1	2	3	13	NA	5.72081e-05	"781"	AT1G27050
1:2:3:14	1	2	3	14	NA	5.72081e-05	"6236"	AT5G08570
1:2:3:15	1	2	3	15	NA	5.72081e-05	"382"	AT1G12830
1:2:4:1	1	2	4	1	NA	0.000858123	"7812"	ATMG00400
1:2:4:2	1	2	4	2	NA	0.000457666	"2213"	AT2G07725
1:2:4:3	1	2	4	3	NA	0.000457665	"1147"	AT1G49650
1:2:4:4	1	2	4	4	NA	0.000343249	"7797"	ATMG00210
1:2:4:5	1	2	4	5	NA	0.000343249	"2212"	AT2G07724
1:2:4:6	1	2	4	6	NA	0.000343249	"2761"	AT2G30140
1:2:4:7	1	2	4	7	NA	0.000286041	"1552"	AT1G64840
1:2:4:8	1	2	4	8	NA	0.000228833	"2260"	AT2G07826
1:2:4:9	1	2	4	9	NA	0.000228833	"7863"	ATMG01210
1:2:4:10	1	2	4	10	NA	0.000171625	"7796"	ATMG00200
1:2:4:11	1	2	4	11	NA	5.72081e-05	"2434"	AT2G18915
1:2:5:1	1	2	5	1	NA	0.000514874	"983"	AT1G34200
1:2:5:2	1	2	5	2	NA	0.000457666	"7847"	ATMG00920
1:2:5:3	1	2	5	3	NA	0.000400458	"2182"	AT2G07678
1:2:5:4	1	2	5	4	NA	0.00034325	"2253"	AT2G07808
1:2:5:5	1	2	5	5	NA	0.00034325	"7872"	ATMG01330
1:2:5:6	1	2	5	6	NA	0.000343249	"7458"	AT5G57710
1:2:5:7	1	2	5	7	NA	0.000286041	"2189"	AT2G07689
1:2:5:8	1	2	5	8	NA	0.000228833	"4979"	AT4G07825
1:2:5:9	1	2	5	9	NA	0.000171625	"467"	AT1G15510
1:2:5:10	1	2	5	10	NA	0.000171625	"2691"	AT2G27510
1:2:5:11	1	2	5	11	NA	0.000114416	"7804"	ATMG00290
1:2:5:12	1	2	5	12	NA	5.72083e-05	"3846"	AT3G18710
1:2:5:13	1	2	5	13	NA	5.72082e-05	"2397"	AT2G17670
1:2:6:1	1	2	6	1	NA	0.000686498	"2193"	AT2G07696
1:2:6:2	1	2	6	2	NA	0.00034325	"2219"	AT2G07733
1:2:6:3	1	2	6	3	NA	0.00034325	"7803"	ATMG00285
1:2:6:4	1	2	6	4	NA	0.000228833	"2200"	AT2G07711
1:2:6:5	1	2	6	5	NA	0.000228833	"7820"	ATMG00513
1:2:6:6	1	2	6	6	NA	0.000171625	"7091"	AT5G44600
1:2:6:7	1	2	6	7	NA	5.72083e-05	"6901"	AT5G38620
1:2:7:1	1	2	7	1	NA	0.001373	"4974"	AT4G07400
1:2:7:2	1	2	7	2	NA	5.72082e-05	"6551"	AT5G19020
1:2:7:3	1	2	7	3	NA	5.72082e-05	"4710"	AT3G59910
1:2:7:4	1	2	7	4	NA	5.72082e-05	"5212"	AT4G15260
1:2:7:5	1	2	7	5	NA	5.72081e-05	"2258"	AT2G07815
1:2:8:1	1	2	8	1	NA	0.000686499	"7401"	AT5G55670
1:2:8:2	1	2	8	2	NA	0.000286041	"4660"	AT3G58110
1:2:8:3	1	2	8	3	NA	0.000286041	"4016"	AT3G24070
1:2:8:4	1	2	8	4	NA	0.000228832	"1888"	AT1G76560
1:2:8:5	1	2	8	5	NA	5.72084e-05	"2410"	AT2G18020
1:2:8:6	1	2	8	6	NA	5.72081e-05	"3864"	AT3G19380
1:2:9:1	1	2	9	1	NA	0.000400457	"2214"	AT2G07726
1:2:9:2	1	2	9	2	NA	0.000343249	"4399"	AT3G49790
1:2:9:3	1	2	9	3	NA	0.000171625	"5520"	AT4G25520
1:2:9:4	1	2	9	4	NA	5.72083e-05	"3403"	AT3G04450
1:2:10:1:1	1	2	10	1	1	0.000171624	"5394"	AT4G21140
1:2:10:1:2	1	2	10	1	2	0.000171624	"2899"	AT2G35230
1:2:10:1:3	1	2	10	1	3	5.72083e-05	"7398"	AT5G55510
1:2:10:1:4	1	2	10	1	4	5.72082e-05	"3338"	AT3G02140
1:2:10:1:5	1	2	10	1	5	5.72081e-05	"977"	AT1G34041
1:2:10:2:1	1	2	10	2	1	0.000286041	"1912"	AT1G77170
1:2:10:2:2	1	2	10	2	2	5.72082e-05	"255"	AT1G09190
1:2:11:1	1	2	11	1	NA	0.000114416	"7340"	AT5G53650
1:2:11:2	1	2	11	2	NA	0.000114416	"1335"	AT1G56260
1:2:11:3	1	2	11	3	NA	5.72081e-05	"3604"	AT3G11290
1:2:12:1	1	2	12	1	NA	0.000114416	"5336"	AT4G18910
1:2:12:2	1	2	12	2	NA	0.000114416	"2530"	AT2G21950
1:2:12:3	1	2	12	3	NA	5.72082e-05	"6567"	AT5G19420
1:3:1:1	1	3	1	1	NA	0.000400458	"2211"	AT2G07723
1:3:1:2	1	3	1	2	NA	0.000400458	"7794"	ATMG00180
1:3:1:3	1	3	1	3	NA	0.00034325	"2206"	AT2G07717
1:3:1:4	1	3	1	4	NA	0.000343249	"7818"	ATMG00500
1:3:1:5	1	3	1	5	NA	0.000343249	"2201"	AT2G07712
1:3:1:6	1	3	1	6	NA	0.000286041	"2198"	AT2G07708
1:3:1:7	1	3	1	7	NA	0.000171625	"7822"	ATMG00520
1:3:1:8	1	3	1	8	NA	0.000171624	"7860"	ATMG01120
1:3:1:9	1	3	1	9	NA	5.72083e-05	"7817"	ATMG00490
1:3:2:1	1	3	2	1	NA	0.000514873	"2245"	AT2G07785
1:3:2:2	1	3	2	2	NA	0.000228833	"7868"	ATMG01275
1:3:2:3	1	3	2	3	NA	0.000171625	"2217"	AT2G07731
1:3:2:4	1	3	2	4	NA	0.000171625	"7802"	ATMG00270
1:3:2:5	1	3	2	5	NA	0.000114416	"7827"	ATMG00580
1:3:2:6	1	3	2	6	NA	5.72083e-05	"7442"	AT5G57340
1:3:3:1	1	3	3	1	NA	0.000228833	"1528"	AT1G64140
1:3:3:2	1	3	3	2	NA	0.000228833	"1529"	AT1G64142
1:3:3:3	1	3	3	3	NA	0.000228832	"2491"	AT2G20690
1:3:4:1	1	3	4	1	NA	0.000228832	"7851"	ATMG00960
1:3:4:2	1	3	4	2	NA	0.000171625	"2231"	AT2G07751
1:3:4:3	1	3	4	3	NA	0.000114417	"7853"	ATMG00990
1:3:4:4	1	3	4	4	NA	5.72081e-05	"120"	AT1G04990
1:3:5:1	1	3	5	1	NA	0.000114417	"7825"	ATMG00560
1:3:5:2	1	3	5	2	NA	0.000114417	"4376"	AT3G48870
1:3:5:3	1	3	5	3	NA	0.000114416	"1755"	AT1G72040
1:3:5:4	1	3	5	4	NA	5.72083e-05	"692"	AT1G23180
1:4:1:1	1	4	1	1	NA	0.000343249	"7250"	AT5G50360
1:4:1:2	1	4	1	2	NA	0.000286041	"7581"	AT5G61510
1:4:1:3	1	4	1	3	NA	0.000228833	"125"	AT1G05150
1:4:1:4	1	4	1	4	NA	0.000114416	"4292"	AT3G46320
1:4:1:5	1	4	1	5	NA	5.72081e-05	"1634"	AT1G68140
1:4:1:6	1	4	1	6	NA	5.7208e-05	"4989"	AT4G08510
1:4:2:1:1	1	4	2	1	1	0.000171624	"215"	AT1G08130
1:4:2:1:2	1	4	2	1	2	0.000114416	"1074"	AT1G47056
1:4:2:1:3	1	4	2	1	3	5.72082e-05	"2976"	AT2G37520
1:4:2:1:4	1	4	2	1	4	5.72081e-05	"3523"	AT3G08960
1:4:2:2:1	1	4	2	2	1	0.000171624	"5698"	AT4G30920
1:4:2:2:2	1	4	2	2	2	0.000114417	"5214"	AT4G15390
1:4:2:2:3	1	4	2	2	3	5.72081e-05	"6328"	AT5G11580
1:4:3:1	1	4	3	1	NA	0.000228833	"1914"	AT1G77240
1:4:3:2	1	4	3	2	NA	0.000114416	"3968"	AT3G22660
1:4:3:3	1	4	3	3	NA	0.000114416	"5230"	AT4G15810
1:4:3:4	1	4	3	4	NA	5.72083e-05	"2987"	AT2G37840
1:4:3:5	1	4	3	5	NA	5.72082e-05	"6175"	AT5G06865
1:4:4:1	1	4	4	1	NA	0.000171624	"2568"	AT2G23290
1:4:4:2	1	4	4	2	NA	0.000114416	"6233"	AT5G08520
1:4:4:3	1	4	4	3	NA	0.000114416	"396"	AT1G13190
1:4:4:4	1	4	4	4	NA	0.000114416	"5290"	AT4G17520
1:4:4:5	1	4	4	5	NA	5.72083e-05	"6311"	AT5G11090
1:4:5:1	1	4	5	1	NA	0.000171625	"2239"	AT2G07763
1:4:5:2	1	4	5	2	NA	0.000171625	"5168"	AT4G14300
1:4:5:3	1	4	5	3	NA	0.000114417	"6384"	AT5G13860
1:4:5:4	1	4	5	4	NA	5.72084e-05	"7809"	ATMG00360
1:4:6:1	1	4	6	1	NA	0.000228832	"2392"	AT2G17350
1:4:6:2	1	4	6	2	NA	0.000114416	"2446"	AT2G19270
1:4:6:3	1	4	6	3	NA	0.000114416	"2712"	AT2G28400
1:4:7:1	1	4	7	1	NA	0.000114416	"314"	AT1G10690
1:4:7:2	1	4	7	2	NA	0.000114416	"4729"	AT3G60820
1:4:7:3	1	4	7	3	NA	5.72082e-05	"1375"	AT1G58280
2:1:1	2	1	1	NA	NA	0.00268879	"1014"	AT1G35620
2:1:2	2	1	2	NA	NA	0.00217391	"6573"	AT5G19690
2:1:3	2	1	3	NA	NA	0.00171625	"924"	AT1G31850
2:1:4	2	1	4	NA	NA	0.00154462	"5410"	AT4G21790
2:1:5	2	1	5	NA	NA	0.00148741	"6534"	AT5G18480
2:1:6	2	1	6	NA	NA	0.001373	"4641"	AT3G57650
2:1:7	2	1	7	NA	NA	0.00131579	"4087"	AT3G26380
2:1:8	2	1	8	NA	NA	0.00114416	"4890"	AT4G02500
2:1:9	2	1	9	NA	NA	0.00108696	"6965"	AT5G40780
2:1:10	2	1	10	NA	NA	0.00102975	"6596"	AT5G20660
2:1:11	2	1	11	NA	NA	0.00102975	"3691"	AT3G13772
2:1:12	2	1	12	NA	NA	0.000972539	"1244"	AT1G53210
2:1:13	2	1	13	NA	NA	0.000915332	"4780"	AT3G62700
2:1:14	2	1	14	NA	NA	0.000915331	"5395"	AT4G21150
2:1:15	2	1	15	NA	NA	0.000858123	"5653"	AT4G29380
2:1:16	2	1	16	NA	NA	0.000858123	"5775"	AT4G33430
2:1:17	2	1	17	NA	NA	0.000743706	"3485"	AT3G07160
2:1:18	2	1	18	NA	NA	0.000743706	"3700"	AT3G14067
2:1:19	2	1	19	NA	NA	0.000686499	"3242"	AT2G46060
2:1:20	2	1	20	NA	NA	0.00062929	"7474"	AT5G58090
2:1:21	2	1	21	NA	NA	0.000572082	"3465"	AT3G06550
2:1:22	2	1	22	NA	NA	0.000572082	"557"	AT1G18700
2:1:23	2	1	23	NA	NA	0.000514873	"6406"	AT5G14480
2:1:24	2	1	24	NA	NA	0.000457666	"6389"	AT5G13980
2:1:25	2	1	25	NA	NA	0.000457665	"3000"	AT2G38280
2:1:26	2	1	26	NA	NA	0.000400457	"6663"	AT5G23890
2:1:27	2	1	27	NA	NA	0.000400457	"3528"	AT3G09090
2:1:28	2	1	28	NA	NA	0.000343249	"1479"	AT1G62810
2:1:29	2	1	29	NA	NA	0.000343249	"5085"	AT4G11800
2:1:30	2	1	30	NA	NA	0.000286041	"2631"	AT2G25520
2:1:31	2	1	31	NA	NA	0.000286041	"4680"	AT3G59090
2:1:32	2	1	32	NA	NA	0.000228833	"4682"	AT3G59140
2:1:33	2	1	33	NA	NA	0.000228833	"2874"	AT2G34410
2:1:34	2	1	34	NA	NA	0.000171625	"7025"	AT5G42620
2:1:35	2	1	35	NA	NA	0.000171625	"2946"	AT2G36850
2:1:36	2	1	36	NA	NA	0.000171625	"5280"	AT4G17140
2:1:37	2	1	37	NA	NA	0.000171625	"6413"	AT5G14580
